rank,title,hot,topic,sentiment,risk
1,老外也疑惑中国为什么不参加世界杯,1144126,中国世,负面,高
2,世界杯在中国的收视率爆了,845550,中国世,正面,低
3,打卡中国,670879,中国世,正面,低
4,买连衣裙 看手肘,609489, 手学,负面,高
5,25岁女子为保胎多器官衰竭进ICU,601185,0到2,负面,高
6,内娱闯不进去的赛道短剧闯进去了,527412,0到2,负面,中
7,念一辈子本科,444321, 手学,负面,中
8,张月选安崎投了40票而淡淡投了0,435314,0到2,负面,中
9,华为鸿蒙7首次亮相,314267,0到2,正面,低
10,给阿嬷的情书男主王彦桐签约壹心娱乐,270833,主给阿,正面,低
11,白鹿学历,270082, 手学,负面,低
12,因为饼干太好吃而察觉到不对劲,269420,0到2,负面,低
13,也是靠杨幂吃上这个夏天的红利了,267380, 手学,正面,低
14,蒙淇淇是学法律的,266557, 手学,正面,低
15,A股,265149, 手学,正面,低
16,白鹿起诉甄姬不放瓜,264535,0到2,负面,低
17,TFBOYS当年全员单吊一所大学,262831,0到2,负面,低
18,鸿蒙6终端设备数突破6600万,261933,0到2,正面,低
19,韩国绝杀功臣赛前高烧38度,260684,0到2,负面,低
20,鹿晗gapday音乐节,259433,a2世,正面,低
21,迪丽热巴陈飞宇持续掉粉,257906,主给阿,负面,低
22,21岁和26岁差距真的很大,257064,0到2,负面,低
23,鸿蒙7,255773, 手学,正面,低
24,王安宇以为手机被丁程鑫拿走,254880,0到2,负面,低
25,歌手补位,253188, 手学,负面,低
26,张百乔 小雪,252698, 手学,负面,低
27,第一次见丑得像人的狗,251089, 手学,负面,低
28,黄仁勋回应总穿皮夹克,250068, 手学,正面,低
29,演员署名按姓氏笔画排列,248853, 手学,正面,低
30,央视曝养生馆围猎老年人,247387,0到2,负面,低
31,曝张百乔小雪出售沈阳别墅,245738,主给阿,负面,低
32,林允瘦到认不出,244706,0到2,负面,低
33,2859克黄金被扣30年终返还,244338,0到2,负面,低
34,陈立农这是干什么,243303, 手学,负面,低
35,养猫人底线低过底裤,241061, 手学,负面,低
36,金靖不敢打张凌赫怕小核桃看到,240699,0到2,负面,低
37,公众号已删除马思纯争议文章,239421,0到2,负面,低
38,TheShy说比赛见,237705, 手学,负面,低
39,刘涛女儿18岁近照,236505,主给阿,正面,低
40,Lisa登台2026世界杯开幕式,235649,a2世,正面,低
41,世界杯,234505,a2世,负面,低
42,蒙淇淇 没收到任何通知,233331,0到2,负面,低
43,原来一个人身上真的会有气质,231434, 手学,正面,低
44,盖州公安返还男子30年前被扣黄金,231168,0到2,负面,低
45,关晓彤 练哪不是练呢,229851, 手学,负面,低
46,张月是陈瑶的第一选择,228723, 手学,正面,低
47,泰国逝世公主昏迷3年半,227111,主给阿,负面,低
48,张新成减到体脂7一个月病倒4次,225857,0到2,负面,低
49,宋亚轩做饭功力跟马嘉祺抵消,225119,0到2,负面,低
50,大家不接陌生电话的最佳解释,223339,0到2,负面,低
