rank,title,hot,topic,sentiment,confidence,need_review,risk
1,德国淘汰,12284930,淘汰/德国,负面,0.9910545945167542,False,高
2,巴西绝杀,9686230,绝杀/巴西,正面,0.9855288863182068,False,低
3,人民锐评网红诋毁袁隆平造谣企业家,1692765,锐评/网红,负面,0.9999605417251587,False,高
4,恋与深空道歉声明,1261463,深空/道歉,负面,0.998730480670929,False,高
5,德国4比5巴拉圭,684059,巴拉圭/德国,负面,0.9528720378875732,False,高
6,马航MH370传来最新消息,682848,马航/MH370,负面,0.9982125759124756,False,高
7,金鹰奖视后提名预测,541056,金鹰奖/视后,正面,0.7512465715408325,False,低
8,iPhone18e曝光,540417,iPhone18e/曝光,正面,0.9974806904792786,False,低
9,齐思钧回复张月,538001,齐思钧/张月,正面,0.9827526807785034,False,低
10,内马尔安慰日本球员,536656,内马尔/球员,正面,0.9717338681221008,False,低
11,女子清吧被陌生人投放伟哥,534821,伟哥/陌生人,负面,0.9999501705169678,False,中
12,杨紫被质疑未使用原名纯属误解,533054,纯属/误解,负面,0.9998829364776611,False,中
13,恋与深空,531928,深空,负面,0.9981715679168701,False,中
14,王楚钦说配合稍微有些陌生感,530361,王楚/陌生感,负面,0.5636940002441406,True,中
15,黄晓明夸昆凌引杨颖对比,529759,夸昆/凌引,正面,0.9478866457939148,False,低
16,Melo向柳智敏张元英道歉,448755,Melo/柳智敏,负面,0.99803227186203,False,中
17,第一次对自信的力量有了实感,444674,实感/自信,正面,0.9977028965950012,False,低
18,电影抓特务上映11天破亿,442182,11/天破,负面,0.6449489593505859,False,中
19,存储芯片龙头提示风险,439463,存储芯片/龙头,正面,0.9973604083061218,False,低
20,当我知道豆包有后台审核人员,434579,豆包/后台,正面,0.9749335646629333,False,低
21,日本队主帅道歉,427474,日本队/主帅,负面,0.999358594417572,False,中
22,杨紫学位证上就是杨紫,423156,杨紫/学位证,正面,0.999574601650238,False,低
23,81岁老人被男子买光菜回家车祸去世,421687,买光/81,负面,0.9999109506607056,False,中
24,黄晓明晒和周杰伦的合照,421669,合照/周杰伦,正面,0.999958872795105,False,低
25,爱直接对嘴喝饮料的人天塌了,421650,天塌/饮料,负面,0.999941349029541,False,中
26,曝iPhone18Pro机密文件现身暗网,421637,iPhone18Pro/暗网,负面,0.9995425939559937,False,中
27,刘宇宁是去进货了吗,421630,刘宇宁/进货,负面,0.9999638795852661,False,中
28,免费试吃发差评被店家挂店门避雷,421612,试吃/避雷,负面,0.9999740123748779,False,中
29,科学备孕男女都要上心,410172,备孕/上心,正面,0.9949977397918701,False,低
30,中国新一轮出口管制直指日本命脉,402559,命脉/直指,负面,0.8334175944328308,False,中
31,韩国球迷凌晨4点接机怒骂主教练,400192,接机/主教练,负面,0.9999532699584961,False,中
32,德国vs巴拉圭,337450,vs/巴拉圭,负面,0.9801616668701172,False,中
33,王濛回复黄灿灿,335152,黄灿灿/回复,正面,0.9998623132705688,False,低
34,詹姆斯 勇士,333150,詹姆斯/勇士,正面,0.7072011232376099,False,低
35,莫兰特被交易到开拓者,329473,兰特/开拓者,负面,0.5474238395690918,True,中
36,曝娱乐圈大部分明星失业,329377,娱乐圈/失业,负面,0.9998654127120972,False,中
37,荷兰vs摩洛哥,329365,vs/摩洛哥,负面,0.9548495411872864,False,中
38,巴西2比1日本,300114,巴西/日本,负面,0.5378920435905457,True,中
39,德国队回应爆冷淘汰,290465,爆冷/德国队,负面,0.9830202460289001,False,低
40,高质量发展看新疆,285856,高质量/新疆,正面,0.678175687789917,False,低
41,千万不要随便扣肚脐,283769,肚脐/千万,负面,0.9998520612716675,False,低
42,点球大战,278962,点球/大战,负面,0.9791709184646606,False,低
43,巴拉圭门将,278008,门将/巴拉圭,负面,0.9508965611457825,False,低
44,陈小春人老了干什么也不心酸,273695,陈小春/心酸,正面,0.9998202919960022,False,低
45,三星投资计划,271910,三星/计划,正面,0.9979485869407654,False,低
46,日本淘汰,271535,淘汰/日本,负面,0.9996200799942017,False,低
47,李在明向韩国两大财阀90度鞠躬,270572,李在/明向,正面,0.9998863935470581,False,低
48,全球芯片巨头史诗级扩产,266218,扩产/芯片,正面,0.9998375177383423,False,低
49,低智商犯罪三江口团建来了,257849,团建/三江口,负面,0.9999412298202515,False,低
50,恋与深空回应争议,254053,深空/回应,正面,0.998778760433197,False,低
